title,citation,year,pmid
Ambient Air Pollution and Risk of Gestational Hypertension.,Am. J. Epidemiol. 2017 Aug;186(3):334-343.,2017,28472208
Air pollution exposure and preeclampsia among US women with and without asthma.,Environ. Res. 2016 07;148:248-255.,2016,27085496
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
"Characterization of odorous compounds (VOC and carbonyl compounds) in the ambient air of Yeosu and Gwangyang, large industrial areas of South Korea.",ScientificWorldJournal 2014 ;2014:824301.,2014,25309959
"Quantification of emissions from domestic heating in residential areas of İzmir, Turkey and assessment of the impact on local/regional air-quality.",Sci. Total Environ. 2014 Aug;488-489:429-36.,2014,24315026
"Associations between self-reported odour annoyance and volatile organic compounds in 'Chemical Valley', Sarnia, Ontario.",Environ Monit Assess 2013 Jun;185(6):4537-49.,2013,23014924
Long-term exposure to close-proximity air pollution and asthma and allergies in urban children.,Eur. Respir. J. 2010 Jul;36(1):33-40.,2010,20075054
Assessment of low dose effects of acute sulphur dioxide exposure on the airways using non-invasive methods.,Arch. Toxicol. 2010 Feb;84(2):121-7.,2010,19890628
"Risk of nonpregnancy, risk of disposal for pregnant cows, and duration of the calving interval in cow-calf herds exposed to the oil and gas industry in Western Canada.",Arch Environ Occup Health 2008 ;63(4):241-61.,2008,19106066
The association between exposure to the oil and gas industry and beef calf mortality in Western Canada.,Arch Environ Occup Health 2008 ;63(4):220-40.,2008,19106065
Western Canada study of animal health effects associated with exposure to emissions from oil and natural gas field facilities. Study design and data collection III. Methods of assessing animal exposure to contaminants from the oil and gas industry.,Arch Environ Occup Health 2008 ;63(4):201-19.,2008,19106064
"Emissions of total volatile organic compounds and indoor environment assessment in dental clinics in Athens, Greece.",Int Dent J 2008 Oct;58(5):269-78.,2008,19009994
Exercise and outdoor ambient air pollution.,Br J Sports Med 2001 Aug;35(4):214-22.,2001,11477012
Evaluation of some air pollution indicators in Turkey.,Environ Int 2000 Aug;26(1-2):5-10.,2000,11345738
