title,citation,year,pmid
Blood rheology in children with the S/β+-thalassemia syndrome.,Clin. Hemorheol. Microcirc. 2018 ;69(1-2):207-214.,2018,29630544
Influence of air pollution on airway inflammation and disease activity in childhood-systemic lupus erythematosus.,Clin. Rheumatol. 2018 Mar;37(3):683-690.,2018,29098476
Serum and exhaled breath condensate leptin levels in asthmatic and obesity children: a pilot study.,J Breath Res 2017 Sep;11(4):046005.,2017,28952460
"Exhaled nitric oxide atopy, and spirometry in asthma and rhinitis patients in India.",Adv Respir Med 2017 ;85(4):186-192.,2017,28871585
Proteomic analysis of sputum reveals novel biomarkers for various presentations of asthma.,J Transl Med 2017 08;15(1):171.,2017,28778200
Bayesian estimation of physiological parameters governing a dynamic two-compartment model of exhaled nitric oxide.,Physiol Rep 2017 Aug;5(15):.,2017,28774947
The effect of allergen-induced bronchoconstriction on concentration of 5-oxo-ETE in exhaled breath condensate of house dust mite-allergic patients.,Clin. Exp. Allergy 2017 Oct;47(10):1253-1262.,2017,28763131
Perspectives on exhaled nitric oxide.,J Breath Res 2017 Sep;11(4):047104.,2017,28696336
"Comparison of fractional exhaled nitric oxide levels in chronic obstructive pulmonary disease, bronchial asthma and healthy subjects of Nepal.",J Breath Res 2017 Sep;11(4):047101.,2017,28686173
Exhaled breath profiles in the monitoring of loss of control and clinical recovery in asthma.,Clin. Exp. Allergy 2017 Sep;47(9):1159-1169.,2017,28626990
A European Respiratory Society technical standard: exhaled biomarkers in lung disease.,Eur. Respir. J. 2017 04;49(4):.,2017,28446552
Biomarkers of oxidative stress and antioxidants in severe asthma: A Prospective Case-Control Study.,Ann. Allergy Asthma Immunol. 2017 04;118(4):445-451.,2017,28390585
Changes in acute pulmonary vascular responsiveness to hypoxia during a progressive ascent to high altitude (5300 m).,Exp. Physiol. 2017 06;102(6):711-724.,2017,28390080
Evaluation of exhaled breath temperature (EBT) as a marker and predictor of asthma exacerbation in children and adolescents.,J Asthma 2017 Sep;54(7):699-705.,2017,28282228
Can exhaled volatile organic compounds predict asthma exacerbations in children?,J Breath Res 2017 03;11(1):016016.,2017,28102830
Utilising exhaled nitric oxide information to enhance diagnosis and therapy of respiratory disease - current evidence for clinical practice and proposals to improve the methodology.,Expert Rev Respir Med 2017 02;11(2):101-109.,2017,28076986
Prognostic Role of Exhaled Breath Condensate pH and Fraction Exhaled Nitric Oxide in Systemic Sclerosis Related Interstitial Lung Disease.,Arch. Bronconeumol. 2017 Mar;53(3):120-127.,2017,28038794
Evaluation of the improvement effect of laser acupuncture biostimulation in asthmatic children by exhaled inflammatory biomarker level of nitric oxide.,Lasers Med Sci 2017 Jan;32(1):53-59.,2017,27709308
Predictive value of exhaled nitric oxide and aerobic capacity for sepsis complications after liver transplantation.,Transpl. Int. 2016 Dec;29(12):1307-1316.,2016,27649520
