title,citation,year,pmid
"Effects of low- versus high-dose fluticasone propionate/formoterol fumarate combination therapy on AMP challenge in asthmatic patients: A double-blind, randomised clinical trial.",Pulm Pharmacol Ther 2016 04;37:65-72.,2016,26912209
Effects of cigarette smoke on methacholine- and AMP-induced air trapping in asthmatics.,J Asthma 2015 Feb;52(1):26-33.,2015,25019351
Metabolomic Endotype of Asthma.,J. Immunol. 2015 Jul;195(2):643-50.,2015,26048149
Exhaled Nitric Oxide and Airway Hyperresponsiveness to Adenosine 5'-monophosphate and Methacholine in Children with Asthma.,Int. Arch. Allergy Immunol. 2015 ;166(2):107-13.,2015,25792296
Can exhaled nitric oxide be a surrogate marker of bronchial hyperresponsiveness to adenosine 5'-monophosphate in steroid-naive asthmatic children?,Clin. Exp. Allergy 2015 Apr;45(4):758-66.,2015,25378028
"Adenosine dry powder inhalation for bronchial challenge testing, part 2: proof of concept in asthmatic subjects.",Eur J Pharm Biopharm 2014 Sep;88(1):148-52.,2014,24780441
Challenging the two-minute tidal breathing challenge test.,J Aerosol Med Pulm Drug Deliv 2013 Dec;26(6):380-6.,2013,23509936
Axial distribution of nitric oxide airway production in asthma patients.,Respir Physiol Neurobiol 2013 Jan;185(2):313-8.,2013,23059373
"Is low dose inhaled corticosteroid therapy as effective for inflammation and remodeling in asthma? A randomized, parallel group study.",Respir. Res. 2012 Feb;13:11.,2012,22300506
Natural pollen exposure increases the response plateau to adenosine 5'-monophosphate and bronchial but not alveolar nitric oxide in sensitized subjects.,Respiration 2012 ;83(3):225-32.,2012,21778692
Adenosine A₂a receptors and O₂ sensing in development.,Am. J. Physiol. Regul. Integr. Comp. Physiol. 2011 Sep;301(3):R601-22.,2011,21677265
Adenosine 5'-monophosphate challenge elicits a more peripheral airway response than methacholine challenge.,J. Appl. Physiol. 2011 May;110(5):1241-7.,2011,21393472
Proof of concept study to evaluate step-down therapy with inhaled corticosteroid alone or additive therapy on surrogate inflammatory markers in asthma.,Br J Clin Pharmacol 2011 Jan;71(1):128-31.,2011,21143509
Particle size matters: diagnostics and treatment of small airways involvement in asthma.,Eur. Respir. J. 2011 Mar;37(3):532-40.,2011,20595155
Prolonged protection of the new inhaled corticosteroid fluticasone furoate against AMP hyperresponsiveness in patients with asthma.,Allergy 2010 Dec;65(12):1531-5.,2010,20560909
The role of PACAP in central cardiorespiratory regulation.,Respir Physiol Neurobiol 2010 Nov;174(1-2):65-75.,2010,20470908
"Maximal response plateau to adenosine 5'-monophosphate in asthma. Relationship with the response to methacholine, exhaled nitric oxide, and exhaled breath condensate pH.",Chest 2009 Jun;135(6):1521-1526.,2009,19225062
Exhaled nitric oxide measurement is not useful for predicting the response to inhaled corticosteroids in subjects with chronic cough.,Chest 2009 Sep;136(3):816-822.,2009,19411296
The use of bronchial challenge to diagnose asthma in preschool children.,Prim Care Respir J 2009 Mar;18(1):10-4.,2009,19172211
Adenosine and adenosine receptors in the pathomechanism and treatment of respiratory diseases.,Curr. Med. Chem. 2008 ;15(9):917-22.,2008,18473799
Physiology of the small airways: A gender difference?,Respir Med 2008 Sep;102(9):1264-71.,2008,18617383
Pituitary adenylate cyclase-activating polypeptide is vital for neonatal survival and the neuronal control of breathing.,Respir Physiol Neurobiol 2008 Dec;164(1-2):168-78.,2008,18589006
Similarities and differences in the autonomic control of airway and urinary bladder smooth muscle.,Naunyn Schmiedebergs Arch. Pharmacol. 2008 Aug;378(2):217-24.,2008,18548230
"Rapid effect of inhaled ciclesonide in asthma: a randomized, placebo-controlled study.",Chest 2008 Oct;134(4):740-5.,2008,18403668
Ciclesonide improves measures of small airway involvement in asthma.,Eur. Respir. J. 2008 Jun;31(6):1213-20.,2008,18287130
Effects of montelukast on subjective and objective outcome measures in preschool asthmatic children.,Pediatr. Pulmonol. 2008 Feb;43(2):179-86.,2008,18085698
Arthropod D2 receptors positively couple with cAMP through the Gi/o protein family.,"Comp. Biochem. Physiol. B, Biochem. Mol. Biol. 2007 Jan;146(1):9-19.",2007,17134931
Adenosine in the airways: implications and applications.,Eur. J. Pharmacol. 2006 Mar;533(1-3):77-88.,2006,16458886
The effect of challenge method on sensitivity and reactivity to adenosine 5'-monophosphate in subjects with suspected asthma.,Chest 2006 Nov;130(5):1448-53.,2006,17099023
AMP challenge induces a decrease in FE(NO) in asthmatic subjects modulated by nedocromil.,Eur. J. Clin. Invest. 2006 Dec;36(12):899-905.,2006,17087785
Markers of exacerbation severity in chronic obstructive pulmonary disease.,Respir. Res. 2006 May;7:74.,2006,16686949
Anti-inflammatory effects of once daily low dose inhaled ciclesonide in mild to moderate asthmatic patients.,Allergy 2006 May;61(5):537-42.,2006,16629781
Overexpression of endothelial nitric oxide synthase suppresses features of allergic asthma in mice.,Respir. Res. 2006 Apr;7:58.,2006,16597326
Early rise in exhaled nitric oxide and mast cell activation in repeated low-dose allergen challenge.,Eur. Respir. J. 2006 Jun;27(6):1152-9.,2006,16510451
