title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Inflammatory markers in blood and exhaled air after short-term exposure to cooking fumes.,Ann Occup Hyg 2013 Mar;57(2):230-9.,2013,23179989
Exhaled breath analysis and sleep.,J Clin Sleep Med 2011 Oct;7(5 Suppl):S34-7.,2011,22003329
Study of ethane level in exhaled breath in patients with age-related macular degeneration: preliminary study.,Ophthalmic Res. 2011 ;46(3):141-4.,2011,21336004
Exhaled ethane concentration in patients with cancer of the upper gastrointestinal tract - a proof of concept study.,Biosci Trends 2009 Jun;3(3):110-4.,2009,20103832
Ethane and n-pentane in exhaled breath are biomarkers of exposure not effect.,Biomarkers 2009 Feb;14(1):17-25.,2009,19283520
Application of laser spectroscopy for measurement of exhaled ethane in patients with lung cancer.,Respir Med 2006 Feb;100(2):300-6.,2006,16002272
Clinical implications of the ethane in exhaled breath in patients with acute paraquat intoxication.,Chest 2005 Sep;128(3):1506-10.,2005,16162750
Effects of ventilation on the collection of exhaled breath in humans.,J. Appl. Physiol. 2004 Apr;96(4):1371-9.,2004,14672964
Effect of vitamin E on exhaled ethane in cigarette smokers.,Chest 1999 Mar;115(3):684-90.,1999,10084476
Visceral lipid peroxidation occurs at reperfusion after supraceliac aortic cross-clamping.,J. Vasc. Surg. 1994 Mar;19(3):473-7.,1994,8126860
Attenuation of methane and volatile organic compounds in landfill soil covers.,J. Environ. Qual. 2004 Jan-Feb;33(1):61-71.,,14964359
