title,citation,year,pmid
The Effect of a Dietary Nitrate Supplementation in the Form of a Single Shot of Beetroot Juice on Static and Dynamic Apnea Performance.,Int J Sport Nutr Exerc Metab 2018 Sep;28(5):497-501.,2018,29091471
The effect of dietary nitrate supplementation on the spatial heterogeneity of quadriceps deoxygenation during heavy-intensity cycling.,Physiol Rep 2017 Jul;5(14):.,2017,28743821
"Effects of oral sodium nitrate on forearm blood flow, oxygenation and exercise performance during acute exposure to hypobaric hypoxia (4300 m).",Nitric Oxide 2017 Sep;69:1-9.,2017,28684191
Effect of Dietary Nitrate Supplementation on Swimming Performance in Trained Swimmers.,Int J Sport Nutr Exerc Metab 2017 Aug;27(4):377-384.,2017,28182502
Effects of dietary nitrate supplementation on symptoms of acute mountain sickness and basic physiological responses in a group of male adolescents during ascent to Mount Everest Base Camp.,Nitric Oxide 2016 11;60:24-31.,2016,27593617
Changes in breathomics from a 1-year randomized smoking cessation trial of electronic cigarettes.,Eur. J. Clin. Invest. 2016 Aug;46(8):698-706.,2016,27322745
Dietary Nitrate Acutely and Markedly Increased Exhaled Nitric Oxide in a Cystic Fibrosis Case.,Clin Med Res 2016 Dec;14(3-4):151-155.,2016,27630187
"Acute Dietary Nitrate Intake Improves Muscle Contractile Function in Patients With Heart Failure: A Double-Blind, Placebo-Controlled, Randomized Trial.",Circ Heart Fail 2015 Sep;8(5):914-20.,2015,26179185
5-Fluorouracil cardiotoxicity: reversible left ventricular systolic dysfunction with early detection.,BMJ Case Rep 2015 May;2015:.,2015,25935919
Acute Beetroot Juice Supplementation Does Not Improve Cycling Performance in Normoxia or Moderate Hypoxia.,Int J Sport Nutr Exerc Metab 2015 Aug;25(4):359-66.,2015,25811674
Effects of hyperbaric oxygen on nitric oxide generation in humans.,Nitric Oxide 2015 Jan;44:88-97.,2015,25498903
Effect of acute dietary nitrate intake on maximal knee extensor speed and power in healthy men and women.,Nitric Oxide 2015 Aug;48:16-21.,2015,25199856
Longitudinal decline in pulmonary diffusing capacity among nitrate fertilizer workers.,Occup Med (Lond) 2014 Apr;64(3):181-7.,2014,24514575
Smoking attenuates the age-related decrease in IgE levels and maintains eosinophilic inflammation.,Clin. Exp. Allergy 2013 Jun;43(6):608-15.,2013,23711122
Effects of dietary inorganic nitrate on static and dynamic breath-holding in humans.,Respir Physiol Neurobiol 2013 Jan;185(2):339-48.,2013,23099220
"Ventilation, oxidative stress, and nitric oxide in hypobaric versus normobaric hypoxia.",Med Sci Sports Exerc 2013 Feb;45(2):253-60.,2013,22895381
Oxidized-LDL and paraoxonase-1 as biomarkers of coronary artery disease in patients with sleep-disordered breathing.,Curr. Med. Chem. 2012 ;19(25):4359-66.,2012,22934769
"Exhaled breath condensate nitrates, but not nitrites or FENO, relate to asthma control.",Respir Med 2011 Jul;105(7):1007-13.,2011,21277184
Circulating nitric oxide products do not solely reflect nitric oxide release in cirrhosis and portal hypertension.,Liver Int. 2011 Oct;31(9):1381-7.,2011,21745317
Increased plasma and salivary nitrite and decreased bronchial contribution to exhaled NO in pulmonary arterial hypertension.,Eur. J. Clin. Invest. 2011 Aug;41(8):889-97.,2011,21554268
No effect of metabolic acidosis on nitric oxide production in hypoxic and hyperoxic lung regions in pigs.,Acta Physiol (Oxf) 2011 May;202(1):59-68.,2011,21251235
